lat;long;formatted_address
-30 0990557;-51 2317915;Av. da Cavalhada, 2507 - Cavalhada, Porto Alegre - RS, 91740-001, Brazil
-30 0260536;-51 1199301;Av. Manoel Elias, 1212 - Passo das Pedras, Porto Alegre - RS, Brazil
-30 0070547;-51 2048616;R. Ernesto Fontoura, 355 - São Geraldo, Porto Alegre - RS, 90230-091, Brazil
-30 0079387;-51 1451244;R. Maria Montessori, 335 - São Sebastião, Porto Alegre - RS, 91060-120, Brazil
-30 0341534;-51 2125749;Rua General João Telles, 524 - Bom Fim, Porto Alegre - RS, 90035-120, Brazil
-30 015509;-51 159465;Av. Francisco Trein, 461 - Cristo Redentor, Porto Alegre - RS, 91350-200, Brazil
-30 0144531;-51 1135673;Av. Baltazar de Oliveira Garcia, 3158 - Sao Sebastiao, Porto Alegre - RS, Brazil
-30 1216167;-51 2200118;Av. Eduardo Prado, 330 - Cavalhada, Porto Alegre - RS, 91751-000, Brazil
NA;NA;NA
-30 073704;-51 218352;Av. Francisco Massena Viêira, 72 - Santa Tereza, Porto Alegre - RS, 90850-460, Brazil
-30 0423092;-51 2208641;R. José do Patrocínio, 893 - Cidade Baixa, Porto Alegre - RS, 90050-002, Brazil
-30 0886249;-51 2410941;Av. Icaraí, 1110 - Cristal, Porto Alegre - RS, Brazil
-30 0728781;-51 2246849;R. Mutualidade, 290 - Santa Tereza, Porto Alegre - RS, 90850-340, Brazil
-30 0170481;-51 1492338;Tv. Orion, 306 - Cristo Redentor, Porto Alegre - RS, 91370-350, Brazil
-30 0281925;-51 2174105;R. Dr. Barros Cassal, 295 - Floresta, Porto Alegre - RS, 90035-030, Brazil
-30 0406638;-51 1656219;R. São Benedito, 20 - Bom Jesus, Porto Alegre - RS, 91420-530, Brazil
-30 0178458;-51 1991227;Av. Cristóvão Colombo, 2176 - Floresta, Porto Alegre - RS, 90560-002, Brazil
-30 0328584;-51 1779499;Av. Soledade, 569 - Petrópolis, Porto Alegre - RS, Brazil
-30 0863423;-51 2391167;R. Butuí, 144 - Cristal, Porto Alegre - RS, 90820-150, Brazil
-30 0551418;-51 1637686;Av. Ipiranga, 7464 - Jardim do Salso, Porto Alegre - RS, Brazil
-30 0192868;-51 1473573;Av. Benno Mentz, 938 - Vila Ipiranga, Porto Alegre - RS, 91370-020, Brazil
-30 0268962;-51 2169335;R. Dr. Barros Cassal, 180 - Floresta, Porto Alegre - RS, 90035-030, Brazil
NA;NA;NA
-30 0368033;-51 221997;R. Sofia Veloso, 83 - Cidade Baixa, Porto Alegre - RS, 90050-140, Brazil
-30 1330308;-51 2184758;Av. Eduardo Prado, 1621 - Cavalhada, Porto Alegre - RS, Brazil
-30 0115609;-51 1696253;Av. Assis Brasil, 1800 - Passo d'Areia, Porto Alegre - RS, 91010-005, Brazil
-29 998704;-51 1572315;R. Diamantina, 227 - Jardim Floresta, Porto Alegre - RS, 91040-460, Brazil
-30 0421243;-51 1573385;R. Dr. Murtinho, 355 - Bom Jesus, Porto Alegre - RS, 91420-070, Brazil
-30 0298722;-51 2256283;R. dos Andradas, 1593 - Centro Histórico, Porto Alegre - RS, 90010-140, Brazil
-30 0283954;-51 2297143;R. Siqueira Campos, 1193 - Centro, Porto Alegre - RS, 90010-001, Brazil
NA;NA;NA
-30 0086724;-51 195826;Av. Maranhão, 840 - São Geraldo, Porto Alegre - RS, 90230-040, Brazil
-30 0270911;-51 2295283;R. Uruguai, 35 - Centro Histórico, Porto Alegre - RS, 90010-140, Brazil
NA;NA;NA
-30 0430195;-51 1908002;R. Faria Santos, 47 - Petrópolis, Porto Alegre - RS, 90670-150, Brazil
-30 044687;-51 1489629;R. Vladimir Herzog, 225 - Jardim Carvalho, Porto Alegre - RS, 91430-250, Brazil
-30 0276703;-51 2165254;Av. Alberto Bins, 998 - Centro Histórico, Porto Alegre - RS, 90030-141, Brazil
-30 014294;-51 201936;R. Olinda, 44 - Floresta, Porto Alegre - RS, 90240-570, Brazil
-30 0271925;-51 2296654;Tv. Franscisco de Leonardo Truda, 40 - Centro Histórico, Porto Alegre - RS, 90010-050, Brazil
